Short description,sd_len,sd_word_count,Description,desc_len,desc_word_count,Language,Caller,Assignment group
unable to get the crm app on outlook,36,8,unable to get the crm app on outlook,36,8,English,fydosbih lafdsumb,0
termination for user lisfgta geitrhybler,40,5,termination for user lisfgta geitrhybler hello a kündigung for liuytre geißler effective have be approve click the link to view,127,20,English,mobaidfx gviwlsrm,2
pls reset windows password for user vvkertgipn,46,7,pls reset windows password for user vvkertgipn,46,7,English,vwpxjtof vmidzswj,0
call for ecwtrjnq jpecxuty,26,4,call for ecwtrjnq jpecxuty,26,4,English,olckhmvx pcqobjnd,0
employee termination foulgnmdia pgsqwrumh langmar,49,5,hello a kündigung foulgnmdia pgsqwrumh langmar effective have be approve click the link to view,95,15,English,mobaidfx gviwlsrm,2
unable to sign in to vpn,24,6,unable to sign in to vpn,24,6,English,ncjispka wspgujxm,0
probleme bei der projekt eingabe be collaboration platform infopath,67,9,dear still some issue with the tracker even with message in collaboration tool etc jertyur can difozlav dgbfptos make a ticket and contact or some other person can not enter any project please let know mit freundlichen grüßen best,230,39,English,difozlav dgbfptos,0
lean tracker problem,20,3,hello helpdesk good morning i be not able to add new project into collaboration platform lean tracker contact the helpdesk as per instruction from below mail,157,26,English,dshferby houtnzdi,0
inc ticket update,17,3,inc ticket update,17,3,English,olckhmvx pcqobjnd,0
procenter login credential for new joiner,41,6,please create procenter login credential for below new joiner name keyhuerthi vtyr user would reddatrhykv,105,15,English,utyeofsk rdyzpwhi,37
access to team drive folder sox self assessment user priflhtret,63,10,need access to folder sox self assessment for quaterly sox request,66,11,English,bayxwszc oiedajqz,34
job bk hana sid arc dp fail in job scheduler at,47,11,receive from email job bk hana sid arc dp fail in job scheduler at,66,14,English,bpctwhsn kzqsbmtp,5
rad hr queue stick in sid k entry,33,8,hr employee datum be not replicate get stick in sid,51,10,English,kgytujhe bonhwzrx,15
problem with handle mp,22,4,problem with handle mp error message transport unit be miss or motor error occur which be a leasing suppressor,110,19,English,txkgmwbc qohmgwrp,33
unable to login to erp,22,5,misplaced password,18,2,English,uaclgmeq hyxzmwdi,0
security incident in suspicious ms rpc ms ds netbios activity android baadea,76,12,source ip source hostname android baadea source port source mac address e c f f system name user name location sep sms status field sale user yes no dsw event log event datum relate event event would event summary internal outbreak for udp occurrence count event count host and connection information source ip source hostname android baadea source port source mac address e c f f destination hostname no entry destination port connection directionality internal protocol udp device information device ip device name company european asa company com log time at utc action block cvss score scwx event processing information sherlock rule would sle inspector rule would inspector event would ontology would event type would agent would event detail sep asa deny udp src inside dst noris by access group acl inside xeda x correlation data sep dhcpd dhcpack on to e c f f android baadea via eth relay lease duration renew sep asa deny udp src inside dst noris by access group acl inside xeda x correlation data sep dhcpd dhcpack on to e c f f android baadea via eth relay lease duration renew sep asa deny udp src inside dst noris by access group acl inside xeda x correlation data sep dhcpd dhcpack on to e c f f android baadea via eth relay lease duration renew sep asa deny udp src inside dst noris by access group acl inside xeda x correlation data sep dhcpd dhcpack on to e c f f android baadea via eth relay lease duration renew sep asa deny udp src inside dst noris by access group acl inside xeda x correlation data sep dhcpd dhcpack on to e c f f android baadea via eth relay lease duration renew sep asa deny udp src inside dst noris by access group acl inside xeda x correlation data sep dhcpd dhcpack on to e c f f android baadea via eth relay lease duration renew sep asa deny udp src inside dst noris by access group acl inside xeda x correlation data sep dhcpd dhcpack on to e c f f android baadea via eth relay lease duration renew sep asa deny udp src inside dst noris by access group acl inside xeda x correlation data sep dhcpd dhcpack on to e c f f android baadea via eth relay lease duration renew sep asa deny udp src inside dst noris by access group acl inside xeda x correlation data sep dhcpd dhcpack on to e c f f android baadea via eth relay lease duration renew sep asa deny udp src inside dst noris by access group acl inside xeda x correlation data sep dhcpd dhcpack on to e c f f android baadea via eth relay lease duration renew sep asa deny udp src inside dst noris by access group acl inside xeda x correlation data sep dhcpd dhcpack on to e c f f android baadea via eth relay lease duration renew sep asa deny udp src inside dst noris by access group acl inside xeda x correlation data sep dhcpd dhcpack on to e c f f android baadea via eth relay lease duration renew sep asa deny udp src inside dst noris by access group acl inside xeda x correlation data sep dhcpd dhcpack on to e c f f android baadea via eth relay lease duration renew sep asa deny udp src inside dst noris by access group acl inside xeda x correlation data sep dhcpd dhcpack on to e c f f android baadea via eth relay lease duration renew sep asa deny udp src inside dst noris by access group acl inside xeda x correlation data sep dhcpd dhcpack on to e c f f android baadea via eth relay lease duration renew sep asa deny udp src inside dst noris by access group acl inside xeda x correlation data sep dhcpd dhcpack on to e c f f android baadea via eth relay lease duration renew ascii packet s no entry hex packet s no entry,3529,673,English,gzhapcld fdigznbk,56
security incident in internal outbreak for port from awyl,57,9,source ip system name user name location sep sms status field sale user yes no dsw event log event datum relate event event would event summary internal outbreak for udp occurrence count event count host and connection information source ip source hostname awyl source port source mac address a f c ab b destination hostname destination port connection directionality internal protocol udp device information device ip device name att apac asa company com log time at utc action block cvss score scwx event processing information sherlock rule would sle inspector rule would inspector event would ontology would event type would agent would event detail sep asa deny udp src inside dst outside by access group acl inside x x correlation datum sep dhcpd dhcpack on to a f c ab b awyl via eth relay lease duration renew sep asa deny udp src inside dst outside by access group acl inside x x correlation datum sep dhcpd dhcpack on to a f c ab b awyl via eth relay lease duration renew sep asa deny udp src inside dst outside by access group acl inside x x correlation datum sep dhcpd dhcpack on to a f c ab b awyl via eth relay lease duration renew sep asa deny udp src inside dst outside by access group acl inside x x correlation datum sep dhcpd dhcpack on to a f c ab b awyl via eth relay lease duration renew sep asa deny udp src inside dst outside by access group acl inside x x correlation datum sep dhcpd dhcpack on to a f c ab b awyl via eth relay lease duration renew sep asa deny udp src inside dst outside by access group acl inside x x correlation datum sep dhcpd dhcpack on to a f c ab b awyl via eth relay lease duration renew sep asa deny udp src inside dst outside by access group acl inside x x correlation datum sep dhcpd dhcpack on to a f c ab b awyl via eth relay lease duration renew sep asa deny udp src inside dst outside by access group acl inside x x correlation datum sep dhcpd dhcpack on to a f c ab b awyl via eth relay lease duration renew sep asa deny udp src inside dst outside by access group acl inside x x correlation datum sep dhcpd dhcpack on to a f c ab b awyl via eth relay lease duration renew sep asa deny udp src inside dst outside by access group acl inside x x correlation datum sep dhcpd dhcpack on to a f c ab b awyl via eth relay lease duration renew sep asa deny udp src inside dst outside by access group acl inside x x correlation datum sep dhcpd dhcpack on to a f c ab b awyl via eth relay lease duration renew sep asa deny udp src inside dst outside by access group acl inside x x correlation datum sep dhcpd dhcpack on to a f c ab b awyl via eth relay lease duration renew sep asa deny udp src inside dst outside by access group acl inside x x correlation datum sep dhcpd dhcpack on to a f c ab b awyl via eth relay lease duration renew sep asa deny udp src inside dst outside by access group acl inside x x correlation datum sep dhcpd dhcpack on to a f c ab b awyl via eth relay lease duration renew sep asa deny udp src inside dst outside by access group acl inside x x correlation datum sep dhcpd dhcpack on to a f c ab b awyl via eth relay lease duration renew sep asa deny udp src inside dst outside by access group acl inside x x correlation datum sep dhcpd dhcpack on to a f c ab b awyl via eth relay lease duration renew ascii packet s hex packet s,3305,654,English,gzhapcld fdigznbk,19
